Name,accession,length,description,db_letters,db_entries,num_hits,hit1_name,hit1_length,hit1_accession,hit1_description,hit1_algorithm,hit1_raw_score,hit1_significance,hit1_bits,hit1_num_hsps,hit1_locus,hit2_name,hit2_length,hit2_accession,hit2_description,hit2_algorithm,hit2_raw_score,hit2_significance,hit2_bits,hit2_num_hsps,hit2_locus,hit3_name,hit3_length,hit3_accession,hit3_description,hit3_algorithm,hit3_raw_score,hit3_significance,hit3_bits,hit3_num_hsps,hit3_locus,hit4_name,hit4_length,hit4_accession,hit4_description,hit4_algorithm,hit4_raw_score,hit4_significance,hit4_bits,hit4_num_hsps,hit4_locus,hit5_name,hit5_length,hit5_accession,hit5_description,hit5_algorithm,hit5_raw_score,hit5_significance,hit5_bits,hit5_num_hsps,hit5_locus,hit6_name,hit6_length,hit6_accession,hit6_description,hit6_algorithm,hit6_raw_score,hit6_significance,hit6_bits,hit6_num_hsps,hit6_locus,hit7_name,hit7_length,hit7_accession,hit7_description,hit7_algorithm,hit7_raw_score,hit7_significance,hit7_bits,hit7_num_hsps,hit7_locus,hit8_name,hit8_length,hit8_accession,hit8_description,hit8_algorithm,hit8_raw_score,hit8_significance,hit8_bits,hit8_num_hsps,hit8_locus,hit9_name,hit9_length,hit9_accession,hit9_description,hit9_algorithm,hit9_raw_score,hit9_significance,hit9_bits,hit9_num_hsps,hit9_locus,hit10_name,hit10_length,hit10_accession,hit10_description,hit10_algorithm,hit10_raw_score,hit10_significance,hit10_bits,hit10_num_hsps,hit10_locus,hit11_name,hit11_length,hit11_accession,hit11_description,hit11_algorithm,hit11_raw_score,hit11_significance,hit11_bits,hit11_num_hsps,hit11_locus,hit12_name,hit12_length,hit12_accession,hit12_description,hit12_algorithm,hit12_raw_score,hit12_significance,hit12_bits,hit12_num_hsps,hit12_locus,hit13_name,hit13_length,hit13_accession,hit13_description,hit13_algorithm,hit13_raw_score,hit13_significance,hit13_bits,hit13_num_hsps,hit13_locus,hit14_name,hit14_length,hit14_accession,hit14_description,hit14_algorithm,hit14_raw_score,hit14_significance,hit14_bits,hit14_num_hsps,hit14_locus,hit15_name,hit15_length,hit15_accession,hit15_description,hit15_algorithm,hit15_raw_score,hit15_significance,hit15_bits,hit15_num_hsps,hit15_locus,hit16_name,hit16_length,hit16_accession,hit16_description,hit16_algorithm,hit16_raw_score,hit16_significance,hit16_bits,hit16_num_hsps,hit16_locus
040403_184,040403_184,135,,2147483647,10243453,20,gb|FJ367602.1|,1358,FJ367602,"Uncultured bacterium clone TS2_a01d10 16S rib",BLASTN,268,7e-69,268,1,,gb|EU873622.1|,759,EU873622,"Uncultured bacterium clone 1-b01 16S ribosoma",BLASTN,268,7e-69,268,1,,gb|DQ806288.1|,1367,DQ806288,"Uncultured bacterium clone RL186_aan89h09 16S",BLASTN,268,7e-69,268,1,,gb|AY981498.1|,1354,AY981498,"Uncultured bacterium clone L611 16S ribosomal",BLASTN,268,7e-69,268,1,,dbj|AB075631.1|,513,AB075631,"Uncultured chicken cecal bacterium gene for 1",BLASTN,268,7e-69,268,1,,emb|FN563347.1|,1299,FN563347,"Uncultured bacterium partial 16S rRNA gene, c",BLASTN,260,2e-66,260,1,,gb|GQ898664.1|,1493,GQ898664,"Uncultured bacterium clone S3-220 16S ribosom",BLASTN,260,2e-66,260,1,,gb|GQ898644.1|,1492,GQ898644,"Uncultured bacterium clone S3-196 16S ribosom",BLASTN,260,2e-66,260,1,,gb|GQ898598.1|,1501,GQ898598,"Uncultured bacterium clone S3-146 16S ribosom",BLASTN,260,2e-66,260,1,,gb|GQ898556.1|,1492,GQ898556,"Uncultured bacterium clone S3-81 16S ribosoma",BLASTN,260,2e-66,260,1,,gb|GQ898509.1|,0,GQ898509,"Uncultured bacterium clone S3-29 16S ribosoma",BLASTN,260,2e-66,,0,,gb|GQ898494.1|,0,GQ898494,"Uncultured bacterium clone S3-14 16S ribosoma",BLASTN,260,2e-66,,0,,gb|GQ898488.1|,0,GQ898488,"Uncultured bacterium clone S3-8 16S ribosomal",BLASTN,260,2e-66,,0,,gb|GQ898462.1|,0,GQ898462,"Uncultured bacterium clone S2-203 16S ribosom",BLASTN,260,2e-66,,0,,gb|GQ898349.1|,0,GQ898349,"Uncultured bacterium clone S2-64 16S ribosoma",BLASTN,260,2e-66,,0,,gb|GQ898319.1|,0,GQ898319,"Uncultured bacterium clone S2-33 16S ribosoma",BLASTN,260,2e-66,,0,
018003_242,018003_242,138,,2147483647,10243453,20,gb|FJ838483.1|,742,FJ838483,"Uncultured bacterium clone YO00208E07 16S rib",BLASTN,274,1e-70,274,1,,gb|FJ838318.1|,739,FJ838318,"Uncultured bacterium clone YO00191B02 16S rib",BLASTN,274,1e-70,274,1,,gb|FJ838310.1|,736,FJ838310,"Uncultured bacterium clone YO00191B04 16S rib",BLASTN,274,1e-70,274,1,,gb|FJ838025.1|,743,FJ838025,"Uncultured bacterium clone YO00280F01 16S rib",BLASTN,274,1e-70,274,1,,gb|FJ837827.1|,792,FJ837827,"Uncultured bacterium clone YO00277C10 16S rib",BLASTN,274,1e-70,274,1,,gb|FJ837771.1|,742,FJ837771,"Uncultured bacterium clone YO00277E09 16S rib",BLASTN,274,1e-70,274,1,,gb|FJ835818.1|,810,FJ835818,"Uncultured bacterium clone YO00282H06 16S rib",BLASTN,274,1e-70,274,1,,gb|FJ835784.1|,828,FJ835784,"Uncultured bacterium clone YO00282A07 16S rib",BLASTN,274,1e-70,274,1,,gb|FJ835718.1|,835,FJ835718,"Uncultured bacterium clone YO00281E08 16S rib",BLASTN,274,1e-70,274,1,,gb|FJ835106.1|,743,FJ835106,"Uncultured bacterium clone YO00366A09 16S rib",BLASTN,274,1e-70,274,1,,gb|FJ834974.1|,0,FJ834974,"Uncultured bacterium clone YO00365H01 16S rib",BLASTN,274,1e-70,,0,,emb|AM932618.1|,0,AM932618,"Uncultured bacterium partial 16S rRNA gene, c",BLASTN,274,1e-70,,0,,gb|FJ033381.1|,0,FJ033381,"Uncultured bacterium clone U000022981 16S rib",BLASTN,274,1e-70,,0,,gb|EU456931.1|,0,EU456931,"Uncultured bacterium clone H78S1_08e12 16S ri",BLASTN,274,1e-70,,0,,gb|EU456573.1|,0,EU456573,"Uncultured bacterium clone H74N1_03b08 16S ri",BLASTN,274,1e-70,,0,,gb|EU451063.1|,0,EU451063,"Uncultured bacterium clone K74N3_78f06 16S ri",BLASTN,274,1e-70,,0,
045041_245,045041_245,135,,2147483647,10243453,20,gb|GQ871721.1|,1492,GQ871721,"Uncultured bacterium clone ML18 16S ribosomal",BLASTN,268,7e-69,268,1,,gb|FJ367874.1|,1360,FJ367874,"Uncultured bacterium clone TS2_a04e11 16S rib",BLASTN,268,7e-69,268,1,,gb|EU873644.1|,790,EU873644,"Uncultured bacterium clone 8g09 16S ribosomal",BLASTN,268,7e-69,268,1,,gb|EF707325.1|,695,EF707325,"Uncultured Lachnospiraceae bacterium clone MS",BLASTN,268,7e-69,268,1,,gb|DQ794108.1|,1392,DQ794108,"Uncultured bacterium clone RL176_aan58b07 16S",BLASTN,268,7e-69,268,1,,gb|DQ793953.1|,1281,DQ793953,"Uncultured bacterium clone RL176_aah45g04 16S",BLASTN,268,7e-69,268,1,,gb|DQ793638.1|,1393,DQ793638,"Uncultured bacterium clone RL246_aai74h02 16S",BLASTN,268,7e-69,268,1,,gb|EF071392.1|,699,EF071392,"Uncultured Firmicutes bacterium clone M0026_1",BLASTN,268,7e-69,268,1,,gb|AF376353.1|,230,AF376353,"Uncultured bacterium ckncm120-C21.D2 16S ribo",BLASTN,268,7e-69,268,1,,gb|AY920000.1|,1039,AY920000,"Uncultured bacterium clone Eldhufec125 16S ri",BLASTN,268,7e-69,268,1,,dbj|AB075655.1|,0,AB075655,"Uncultured chicken cecal bacterium gene for 1",BLASTN,268,7e-69,,0,,gb|DQ057383.1|,0,DQ057383,"uncultured bacterium clone cc186 16S ribosoma",BLASTN,268,7e-69,,0,,emb|FP076786.1|,0,FP076786,"16S rDNA sequence amplified from human fecal ",BLASTN,266,3e-68,,0,,gb|GQ898691.1|,0,GQ898691,"Uncultured bacterium clone S4-25 16S ribosoma",BLASTN,260,2e-66,,0,,gb|GQ898526.1|,0,GQ898526,"Uncultured bacterium clone S3-46 16S ribosoma",BLASTN,260,2e-66,,0,,gb|GQ897835.1|,0,GQ897835,"Uncultured bacterium clone A3-138 16S ribosom",BLASTN,260,2e-66,,0,
061891_212,061891_212,138,,2147483647,10243453,20,gb|FJ881214.1|,1488,FJ881214,"Uncultured bacterium clone R-8206 16S ribosom",BLASTN,274,1e-70,274,1,,gb|FJ880997.1|,1492,FJ880997,"Uncultured bacterium clone R-8996 16S ribosom",BLASTN,274,1e-70,274,1,,gb|FJ880741.1|,1488,FJ880741,"Uncultured bacterium clone R-9798 16S ribosom",BLASTN,274,1e-70,274,1,,gb|FJ834931.1|,729,FJ834931,"Uncultured bacterium clone YO00364B04 16S rib",BLASTN,274,1e-70,274,1,,dbj|AB491339.1|,138,AB491339,"Uncultured Firmicutes bacterium gene for 16S ",BLASTN,274,1e-70,274,1,,gb|FJ366280.1|,1384,FJ366280,"Uncultured bacterium clone TS25_a04g09 16S ri",BLASTN,274,1e-70,274,1,,gb|EF701929.1|,717,EF701929,"Uncultured Lachnospiraceae bacterium clone MS",BLASTN,274,1e-70,274,1,,gb|EF434371.1|,1352,EF434371,"Uncultured Clostridiales bacterium clone CA42",BLASTN,274,1e-70,274,1,,gb|DQ806077.1|,1402,DQ806077,"Uncultured bacterium clone RL186_aah60h02 16S",BLASTN,274,1e-70,274,1,,gb|DQ456429.1|,1454,DQ456429,"Uncultured bacterium clone CFT214E12 16S ribo",BLASTN,274,1e-70,274,1,,gb|DQ456384.1|,0,DQ456384,"Uncultured bacterium clone CFT212G3 16S ribos",BLASTN,274,1e-70,,0,,gb|DQ455875.1|,0,DQ455875,"Uncultured bacterium clone CFT19F4 16S riboso",BLASTN,274,1e-70,,0,,dbj|AB075613.1|,0,AB075613,"Uncultured chicken cecal bacterium gene for 1",BLASTN,274,1e-70,,0,,gb|DQ455870.1|,0,DQ455870,"Uncultured bacterium clone CFT19E9 16S riboso",BLASTN,270,2e-69,,0,,gb|GQ298931.1|,0,GQ298931,"Uncultured bacterium clone 16saw81-1b03.w2k 1",BLASTN,266,3e-68,,0,,gb|GQ297839.1|,0,GQ297839,"Uncultured bacterium clone 16saw63-2b09.w2k 1",BLASTN,266,3e-68,,0,
081861_197,081861_197,137,,2147483647,10243453,20,gb|FJ881214.1|,1488,FJ881214,"Uncultured bacterium clone R-8206 16S ribosom",BLASTN,242,4e-61,242,1,,gb|FJ880997.1|,1492,FJ880997,"Uncultured bacterium clone R-8996 16S ribosom",BLASTN,242,4e-61,242,1,,gb|FJ880741.1|,1488,FJ880741,"Uncultured bacterium clone R-9798 16S ribosom",BLASTN,242,4e-61,242,1,,gb|FJ834931.1|,729,FJ834931,"Uncultured bacterium clone YO00364B04 16S rib",BLASTN,242,4e-61,242,1,,dbj|AB491339.1|,138,AB491339,"Uncultured Firmicutes bacterium gene for 16S ",BLASTN,242,4e-61,242,1,,gb|FJ366280.1|,1384,FJ366280,"Uncultured bacterium clone TS25_a04g09 16S ri",BLASTN,242,4e-61,242,1,,gb|EF701929.1|,717,EF701929,"Uncultured Lachnospiraceae bacterium clone MS",BLASTN,242,4e-61,242,1,,gb|EF434371.1|,1352,EF434371,"Uncultured Clostridiales bacterium clone CA42",BLASTN,242,4e-61,242,1,,gb|DQ806077.1|,1402,DQ806077,"Uncultured bacterium clone RL186_aah60h02 16S",BLASTN,242,4e-61,242,1,,gb|DQ456429.1|,1454,DQ456429,"Uncultured bacterium clone CFT214E12 16S ribo",BLASTN,242,4e-61,242,1,,gb|DQ456384.1|,0,DQ456384,"Uncultured bacterium clone CFT212G3 16S ribos",BLASTN,242,4e-61,,0,,gb|DQ455875.1|,0,DQ455875,"Uncultured bacterium clone CFT19F4 16S riboso",BLASTN,242,4e-61,,0,,dbj|AB075613.1|,0,AB075613,"Uncultured chicken cecal bacterium gene for 1",BLASTN,242,4e-61,,0,,gb|DQ455870.1|,0,DQ455870,"Uncultured bacterium clone CFT19E9 16S riboso",BLASTN,240,1e-60,,0,,gb|GQ298931.1|,0,GQ298931,"Uncultured bacterium clone 16saw81-1b03.w2k 1",BLASTN,234,9e-59,,0,,gb|GQ297839.1|,0,GQ297839,"Uncultured bacterium clone 16saw63-2b09.w2k 1",BLASTN,234,9e-59,,0,
025148_208,025148_208,135,,2147483647,10243453,20,gb|FJ440061.1|,1455,FJ440061,"Uncultured Clostridiales bacterium clone ABXD",BLASTN,268,7e-69,268,1,,gb|EU009813.1|,1455,EU009813,"Uncultured bacterium clone WTB_G48 16S riboso",BLASTN,268,7e-69,268,1,,dbj|AB262653.1|,515,AB262653,"Ruminococcus sp. M76 gene for 16S ribosomal R",BLASTN,268,7e-69,268,1,,dbj|AB262652.1|,515,AB262652,"Ruminococcus sp. M6 gene for 16S ribosomal RN",BLASTN,268,7e-69,268,1,,dbj|AB262651.1|,515,AB262651,"Ruminococcus sp. M23 gene for 16S ribosomal R",BLASTN,268,7e-69,268,1,,gb|EF025296.1|,1455,EF025296,"Uncultured bacterium clone B5_N28 16S ribosom",BLASTN,268,7e-69,268,1,,gb|EF025295.1|,1456,EF025295,"Uncultured bacterium clone B5_N27 16S ribosom",BLASTN,268,7e-69,268,1,,gb|EF025292.1|,1455,EF025292,"Uncultured bacterium clone B5_N24 16S ribosom",BLASTN,268,7e-69,268,1,,gb|EF025291.1|,1455,EF025291,"Uncultured bacterium clone B5_N23 16S ribosom",BLASTN,268,7e-69,268,1,,gb|EF025266.1|,1455,EF025266,"Uncultured bacterium clone B5_F28 16S ribosom",BLASTN,268,7e-69,268,1,,gb|EF025265.1|,0,EF025265,"Uncultured bacterium clone B5_F27 16S ribosom",BLASTN,268,7e-69,,0,,gb|EF025257.1|,0,EF025257,"Uncultured bacterium clone B5_F19 16S ribosom",BLASTN,268,7e-69,,0,,gb|EF025247.1|,0,EF025247,"Uncultured bacterium clone B5_F9 16S ribosoma",BLASTN,268,7e-69,,0,,gb|EF025237.1|,0,EF025237,"Uncultured bacterium clone B5_B29 16S ribosom",BLASTN,268,7e-69,,0,,dbj|AB075651.1|,0,AB075651,"Uncultured chicken cecal bacterium gene for 1",BLASTN,268,7e-69,,0,,dbj|AB075647.1|,0,AB075647,"Uncultured chicken cecal bacterium gene for 1",BLASTN,268,7e-69,,0,
013788_178,013788_178,135,,2147483647,10243453,20,gb|GQ871728.1|,1492,GQ871728,"Uncultured bacterium clone ML25 16S ribosomal",BLASTN,260,2e-66,260,1,,emb|FP082857.1|,1003,FP082857,"16S rDNA sequence amplified from human fecal ",BLASTN,260,2e-66,260,1,,emb|FP075174.1|,1002,FP075174,"16S rDNA sequence amplified from human fecal ",BLASTN,260,2e-66,260,1,,emb|FP085291.1|,1002,FP085291,"16S rDNA sequence amplified from human fecal ",BLASTN,260,2e-66,260,1,,emb|FP085131.1|,1001,FP085131,"16S rDNA sequence amplified from human fecal ",BLASTN,260,2e-66,260,1,,gb|GQ448884.1|,1116,GQ448884,"Uncultured bacterium clone calf32_6wks_grp1_E",BLASTN,260,2e-66,260,1,,gb|GQ175452.1|,1453,GQ175452,"Uncultured bacterium clone cc_133 16S ribosom",BLASTN,260,2e-66,260,1,,gb|GQ175422.1|,1453,GQ175422,"Uncultured bacterium clone cc_87 16S ribosoma",BLASTN,260,2e-66,260,1,,gb|GQ175413.1|,1453,GQ175413,"Uncultured bacterium clone cc_72 16S ribosoma",BLASTN,260,2e-66,260,1,,gb|GQ175403.1|,1455,GQ175403,"Uncultured bacterium clone cc_53 16S ribosoma",BLASTN,260,2e-66,260,1,,gb|FJ440076.1|,0,FJ440076,"Uncultured Clostridiales bacterium clone ABXD",BLASTN,260,2e-66,,0,,gb|FJ440063.1|,0,FJ440063,"Uncultured Clostridiales bacterium clone ABXD",BLASTN,260,2e-66,,0,,gb|FJ440059.1|,0,FJ440059,"Uncultured Clostridiales bacterium clone ABXD",BLASTN,260,2e-66,,0,,gb|FJ440058.1|,0,FJ440058,"Uncultured Clostridiaceae bacterium clone ABX",BLASTN,260,2e-66,,0,,gb|FJ440057.1|,0,FJ440057,"Uncultured Clostridiales bacterium clone ABXD",BLASTN,260,2e-66,,0,,gb|FJ440046.1|,0,FJ440046,"Uncultured Clostridiales bacterium clone ABXD",BLASTN,260,2e-66,,0,
058743_215,058743_215,135,,2147483647,10243453,20,emb|FN563320.1|,1451,FN563320,"Uncultured bacterium partial 16S rRNA gene, c",BLASTN,268,7e-69,268,1,,emb|FN563297.1|,1458,FN563297,"Uncultured bacterium partial 16S rRNA gene, c",BLASTN,268,7e-69,268,1,,emb|FN563290.1|,1451,FN563290,"Uncultured bacterium partial 16S rRNA gene, c",BLASTN,268,7e-69,268,1,,emb|FN563288.1|,1442,FN563288,"Uncultured bacterium partial 16S rRNA gene, c",BLASTN,268,7e-69,268,1,,emb|FN563282.1|,1455,FN563282,"Uncultured bacterium partial 16S rRNA gene, c",BLASTN,268,7e-69,268,1,,gb|GQ898846.1|,1491,GQ898846,"Uncultured bacterium clone S4-203 16S ribosom",BLASTN,268,7e-69,268,1,,gb|GQ898845.1|,1491,GQ898845,"Uncultured bacterium clone S4-202 16S ribosom",BLASTN,268,7e-69,268,1,,gb|GQ898765.1|,1491,GQ898765,"Uncultured bacterium clone S4-121 16S ribosom",BLASTN,268,7e-69,268,1,,gb|GQ898758.1|,1491,GQ898758,"Uncultured bacterium clone S4-94 16S ribosoma",BLASTN,268,7e-69,268,1,,gb|GQ898705.1|,1490,GQ898705,"Uncultured bacterium clone S4-39 16S ribosoma",BLASTN,268,7e-69,268,1,,gb|GQ898666.1|,0,GQ898666,"Uncultured bacterium clone S3-223 16S ribosom",BLASTN,268,7e-69,,0,,gb|GQ898642.1|,0,GQ898642,"Uncultured bacterium clone S3-194 16S ribosom",BLASTN,268,7e-69,,0,,gb|GQ898623.1|,0,GQ898623,"Uncultured bacterium clone S3-172 16S ribosom",BLASTN,268,7e-69,,0,,gb|GQ898487.1|,0,GQ898487,"Uncultured bacterium clone S3-7 16S ribosomal",BLASTN,268,7e-69,,0,,gb|GQ898485.1|,0,GQ898485,"Uncultured bacterium clone S3-5 16S ribosomal",BLASTN,268,7e-69,,0,,gb|GQ898381.1|,0,GQ898381,"Uncultured bacterium clone S2-101 16S ribosom",BLASTN,268,7e-69,,0,
017000_162,017000_162,136,,2147483647,10243453,20,gb|GQ867397.1|,1493,GQ867397,"Uncultured bacterium clone WSp180 16S ribosom",BLASTN,270,2e-69,270,1,,gb|GQ867337.1|,1480,GQ867337,"Uncultured bacterium clone WSp84 16S ribosoma",BLASTN,270,2e-69,270,1,,gb|FJ493127.1|,909,FJ493127,"Uncultured bacterium clone C12 16S ribosomal ",BLASTN,270,2e-69,270,1,,gb|FJ493124.1|,910,FJ493124,"Uncultured bacterium clone C15 16S ribosomal ",BLASTN,270,2e-69,270,1,,gb|FJ371781.1|,1359,FJ371781,"Uncultured bacterium clone TS8_a02b05 16S rib",BLASTN,270,2e-69,270,1,,gb|FJ371702.1|,1378,FJ371702,"Uncultured bacterium clone TS8_a01c07 16S rib",BLASTN,270,2e-69,270,1,,gb|FJ371090.1|,1397,FJ371090,"Uncultured bacterium clone TS5_a04g08 16S rib",BLASTN,270,2e-69,270,1,,gb|FJ371035.1|,1394,FJ371035,"Uncultured bacterium clone TS5_a04b09 16S rib",BLASTN,270,2e-69,270,1,,gb|FJ370802.1|,1393,FJ370802,"Uncultured bacterium clone TS5_a01d10 16S rib",BLASTN,270,2e-69,270,1,,gb|FJ368831.1|,784,FJ368831,"Uncultured bacterium clone TS4_a01b04 16S rib",BLASTN,270,2e-69,270,1,,gb|FJ368076.1|,0,FJ368076,"Uncultured bacterium clone TS30_a03f11 16S ri",BLASTN,270,2e-69,,0,,gb|FJ367964.1|,0,FJ367964,"Uncultured bacterium clone TS30_a01h01 16S ri",BLASTN,270,2e-69,,0,,gb|FJ367211.1|,0,FJ367211,"Uncultured bacterium clone TS28_a04g11 16S ri",BLASTN,270,2e-69,,0,,gb|FJ367112.1|,0,FJ367112,"Uncultured bacterium clone TS28_a03f07 16S ri",BLASTN,270,2e-69,,0,,gb|FJ366796.1|,0,FJ366796,"Uncultured bacterium clone TS27_a04a02 16S ri",BLASTN,270,2e-69,,0,,gb|FJ363212.1|,0,FJ363212,"Uncultured bacterium clone TS148_a04e08 16S r",BLASTN,270,2e-69,,0,
033527_160,033527_160,136,,2147483647,10243453,20,gb|DQ456407.1|,1451,DQ456407,"Uncultured bacterium clone CFT214H2 16S ribos",BLASTN,238,6e-60,238,1,,gb|DQ456357.1|,1475,DQ456357,"Uncultured bacterium clone CFT212D6 16S ribos",BLASTN,238,6e-60,238,1,,gb|DQ455882.1|,1463,DQ455882,"Uncultured bacterium clone CFT19G1 16S riboso",BLASTN,236,2e-59,236,1,,gb|EU466347.1|,1303,EU466347,"Uncultured bacterium clone BH2_aao22c10 16S r",BLASTN,226,2e-56,226,1,,emb|FM956723.1|,924,FM956723,"Uncultured bacterium partial 16s rRNA gene, c",BLASTN,224,9e-56,224,1,,gb|EU009766.1|,1451,EU009766,"Uncultured bacterium clone DTB_AD46 16S ribos",BLASTN,224,9e-56,224,1,,gb|AF371822.1|,1427,AF371822,"Uncultured bacterium clone p-1014-a5 16S ribo",BLASTN,224,9e-56,224,1,,gb|EU777276.1|,1273,EU777276,"Uncultured bacterium clone OK1_a10_3 16S ribo",BLASTN,218,5e-54,218,1,,gb|DQ456342.1|,1453,DQ456342,"Uncultured bacterium clone CFT212B12 16S ribo",BLASTN,216,2e-53,216,1,,gb|EU468604.1|,1325,EU468604,"Uncultured bacterium clone OK1_h03_3 16S ribo",BLASTN,210,1e-51,210,1,,gb|FJ367785.1|,0,FJ367785,"Uncultured bacterium clone TS2_a03e11 16S rib",BLASTN,208,5e-51,,0,,gb|EU469241.1|,0,EU469241,"Uncultured bacterium clone SP3_f08_2 16S ribo",BLASTN,208,5e-51,,0,,gb|AY916363.1|,0,AY916363,"Uncultured bacterium clone D279 16S ribosomal",BLASTN,208,5e-51,,0,,gb|DQ191693.1|,0,DQ191693,"Uncultured bacterium clone AME E23 16S riboso",BLASTN,208,5e-51,,0,,gb|AY883107.1|,0,AY883107,"Uncultured bacterium clone 7-2 16S ribosomal ",BLASTN,208,5e-51,,0,,gb|DQ394679.1|,0,DQ394679,"Uncultured rumen bacterium clone AF9 16S ribo",BLASTN,206,2e-50,,0,
